ion_formula,charge,mz,class,reagent,phase,instrument,contributor,site,setting,biome,campaign,reference,peaklist_file
C4H2NO7,-,175.98367,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C3H4NO9,-,197.98915,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C5H6NO8,-,208.00989,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C5H8NO8,-,210.02554,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C4H5NO9,-,210.99698,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C4H6NO9,-,212.00480,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C5H6NO9,-,224.00480,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C4H4NO10,-,225.98407,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C5H8NO9,-,226.02045,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C4H5NO10,-,226.99189,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
