formula,reagent,detection,instrument,phase,environment,setting,biome,reference,doi,note
C10H14O7,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Nighttime type-1 fingerprint molecule (O3 + monoterpene oxidation) | as written: C10H14O7 | source: Table 1
C10H15O8,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Nighttime type-1 fingerprint molecule; RO2 radical (Eq. 10) | as written: C10H15O8 | source: Table 1 + main-text Eq. 10
C10H14O9,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Nighttime type-1 fingerprint molecule | as written: C10H14O9 | source: Table 1
C10H15O10,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Nighttime type-1 fingerprint molecule; RO2 radical (Eq. 10) | as written: C10H15O10 | source: Table 1 + main-text Eq. 10
C20H32O11,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Nighttime type-1 fingerprint molecule (dimer) | as written: C20H32O11 | source: Table 1
C20H31NO11,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 fingerprint molecule (dimer with one N) | as written: C20H31O8NO3, 523 Th | source: Table 1 + main text"
C20H31NO13,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 fingerprint molecule (dimer with one N, Eq. 12) | as written: C20H31O10NO3, 555 Th | source: Table 1 + main text"
C20H32N2O12,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 fingerprint molecule (dimer with two N, Eq. 13) | as written: C20H32O6(NO3)2, 554 Th | source: Table 1 + main text"
C10H15NO9,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Daytime type-1 fingerprint molecule; C10H15O8 + NO (Eq. 14) | as written: C10H15O6NO3, 355 Th | source: Table 1 + main text"
C10H15NO11,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Daytime type-1 fingerprint molecule; C10H15O10 + NO (Eq. 15) | as written: C10H15O8NO3, 387 Th | source: Table 1 + main text"
C10H15NO8,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Daytime type-2 fingerprint molecule; the single strongest organic nitrate at this site | as written: C10H15O5NO3, 339 Th | source: Table 1 + main text"
C5H6O7,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Daytime type-2 fingerprint molecule | as written: C5H6O7 | source: Table 1
C3H5NO6,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Daytime type-3 fingerprint molecule (small organic nitrate) | as written: C3H5O3NO3, 213 Th | source: Table 1 + main text"
C4H5NO7,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Daytime type-3 fingerprint molecule (small organic nitrate) | as written: C4H5O4NO3, 241 Th | source: Table 1 + main text"
C5H7NO7,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Daytime type-3 fingerprint molecule (small organic nitrate) | as written: C5H7O4NO3, 255 Th | source: Table 1 + main text"
C6H9NO7,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Daytime type-3 fingerprint molecule (small organic nitrate) | as written: C6H9O4NO3, 269 Th | source: Table 1 + main text"
C7H9NO7,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Daytime type-3 fingerprint molecule (small organic nitrate) | as written: C7H9O4NO3, 281 Th | source: Table 1 + main text"
C6H5NO3,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Transport-factor fingerprint molecule; nitrophenol | as written: C6H5NO3, 201 Th | source: Table 1 + main text"
C10H15NO12,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Prominent daytime type-1 peak | as written: C10H15O9NO3, 403 Th | source: main text"
C10H15NO13,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Prominent daytime type-1 peak | as written: C10H15O10NO3, 419 Th | source: main text"
C10H14O11,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"O3+monoterpene factor peak; compared against the Ehn 2014 reference spectrum | as written: C10H14O11, 372 Th | source: main text"
C10H15O12,NO3-,adduct,CI-APi-TOF,gas,boreal forest,atmosphere,forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"O3+monoterpene factor peak; compared against the Ehn 2014 reference spectrum; RO2 radical | as written: C10H15O12, 389 Th | source: main text"
C10H14O7,NO3-,adduct,CI-APi-TOF,gas,chamber,chamber,,"Quéléver et al., 2019, ACP",10.5194/acp-19-7609-2019,Typical HOM product of α-pinene ozonolysis
C10H14O9,NO3-,adduct,CI-APi-TOF,gas,chamber,chamber,,"Quéléver et al., 2019, ACP",10.5194/acp-19-7609-2019,Typical HOM product of α-pinene ozonolysis
C10H14O11,NO3-,adduct,CI-APi-TOF,gas,chamber,chamber,,"Quéléver et al., 2019, ACP",10.5194/acp-19-7609-2019,Typical HOM product of α-pinene ozonolysis
C10H16O7,NO3-,adduct,CI-APi-TOF,gas,chamber,chamber,,"Quéléver et al., 2019, ACP",10.5194/acp-19-7609-2019,Representative HOM monomer used for the condensation-sink calculation
C19H28O12,NO3-,adduct,CI-APi-TOF,gas,chamber,chamber,,"Quéléver et al., 2019, ACP",10.5194/acp-19-7609-2019,Representative HOM dimer used for the condensation-sink calculation
C6H8O7,NO3-,adduct,nitrate CIMS,gas,chamber,chamber,,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,Main HOM monomer from cyclohexene ozonolysis; signal decreases on NO addition
